"properties_address","properties_zip","property_latitude","property_longitude","properties_numberofunits"
"5442 FLORENCE AVE","19143-4139",39.942019,-75.227713,1
"4624 FERNHILL RD","19144-4224",40.02122,-75.166913,1
"5526 MIRIAM RD","19124-1716",40.030201,-75.090307,1
"468 COSGROVE ST","19144-0000",40.04666,-75.17139,1
"5623 CROWSON ST","19144-1343",40.044037,-75.163979,1
"4836 N FRANKLIN ST","19120-3738",40.025706,-75.137423,1
"5631 CROWSON ST","19144-1343",40.04414,-75.164178,1
"5022 ASPEN ST","19139-1622",39.964566,-75.220904,1
"5711 POPLAR ST","19131-4822",39.969635,-75.234595,1
"514 E PENN ST","19144-1406",40.03833,-75.16162,1
"5713 N 21ST ST","19138-2905",40.041648,-75.155768,1
"517 S SALFORD ST","19143-1131",39.953431,-75.241649,1
"5728 FILBERT ST","19139-2429",39.962265,-75.235573,1
"5211 PENNWAY ST","19124-3001",40.027517,-75.105356,1
"5747 FILBERT ST","19139-2430",39.962576,-75.236009,1
"5222 MASTER ST","19131-4323",39.973932,-75.227203,1
"5751 TACKAWANNA ST","19135-3919",40.021907,-75.067032,1
"525 E ASHMEAD ST","19144-1505",40.037839,-75.160463,1
"5811 DITMAN ST","19135-4006",40.01745,-75.062327,1
"527 E ASHMEAD ST","19144-1505",40.037874,-75.160429,1
"5815 WAKEFIELD ST","19144-2151",40.038913,-75.173842,1
"5308 CHESTNUT ST","19139-3332",39.958549,-75.227567,1
"5828 CHESTNUT ST","19139-3109",39.959804,-75.238138,1
"5337 PENTRIDGE ST","19143-4123",39.944206,-75.227259,1
"5955 WINDSOR ST","19143-5221",39.935669,-75.233498,1
"536 W SOMERVILLE AVE","19120-2716",40.033354,-75.132398,1
"6041 DELANCEY ST","19143-1111",39.956298,-75.243242,1
"5417 DELANCEY ST","19143-1408",39.954722,-75.230441,1
"6133 MASTER ST","19151-4215",39.972624,-75.242346,1
"542 N FELTON ST","19151-4138",39.971209,-75.244113,1
"6164 TACKAWANNA ST","19135-3416",40.025357,-75.061157,1
"5425 DELANCEY ST","19143-1408",39.954749,-75.230652,1
"628 E LIPPINCOTT ST","19134-2307",39.996205,-75.11872,1
"5427 DELANCEY ST","19143-1408",39.954755,-75.230706,1
"630 E THAYER ST","19134-1826",39.999735,-75.117913,1
"5427 SPRING ST","19139-2053",39.964177,-75.228722,1
"6428 CALLOWHILL ST","19151-4012",39.969017,-75.248422,1
"5432 SPRING ST","19139-2052",39.963969,-75.228959,1
"657 W ROCKLAND ST","19120-3715",40.026415,-75.136244,1
"5471 DELANCEY ST","19143-1408",39.954902,-75.23188,1
"705 EDGEMORE RD","19151-3609",39.973707,-75.252368,1
"5502 WESTMINSTER AVE","19131-4906",39.967478,-75.230193,1
"707 W RAYMOND ST","19140-1304",40.021231,-75.13785,1
"5551 LUDLOW ST","19139-3207",39.960275,-75.23222,1
"711 W LUZERNE ST","19140-3214",40.012692,-75.139897,1
"56 N DEWEY ST","19139-2306",39.963567,-75.243262,1
"719 EDGEMORE RD","19151-3609",39.973992,-75.252419,1
"5623 PEMBERTON ST","19143-2419",39.951142,-75.235769,1
"730 S FRAZIER ST","19143-2808",39.949301,-75.236837,1
"5624 PALETHORP ST","19120-2434",40.036315,-75.12492,1
"810 LIVINGSTON ST","19125-3517",39.974846,-75.12551,1
"5713 WOODLAND AVE","19143-5915",39.933276,-75.223812,1
"872 FARSON ST","19139-0000",39.967761,-75.221609,1
"5730 FILBERT ST","19139-2429",39.962272,-75.235626,1
"5737 ARCH ST","19139-2419",39.963173,-75.235739,1
"5820 CRITTENDEN ST","19138-1908",40.05343,-75.159483,1
"5849 AKRON ST","19149-3403",40.029186,-75.077306,1
"5913 SPRUCE ST","19139-3835",39.956619,-75.240352,1
"5930 SPRING ST","19139-1230",39.965298,-75.239016,1
"5936 N NORWOOD ST","19138-2920",40.044245,-75.156898,1
"5942 DELANCEY ST","19143-1110",39.955841,-75.241251,1
"5958 WINDSOR ST","19143-5222",39.935393,-75.233343,1
"6022 N NORWOOD ST","19138-2410",40.045901,-75.156806,1
"605 E LIPPINCOTT ST","19134-2306",39.996501,-75.119275,1
"608 E CLEMENTINE ST","19134-2334",39.995916,-75.119292,1
"6102 GLENMORE AVE","19142-3206",39.927378,-75.226686,1
